individual_id,year,month,day,date,decimal_longitude,decimal_latitude,hour,prev_lat,prev_lon,distance_km,delta_lat,delta_lon,angle_degrees,date_format
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,17,2002-07-17 22:16:00,-28.0841813225845,-49.8438202804164,22,-49.819139762445,-27.831377199625,18.338856723912485,-0.02468051797140447,-0.2528041229594997,-174.42405275451836,2002-07-17T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,18,2002-07-18 22:16:00,-28.5935455776844,-49.9709839847004,22,-49.8438202804164,-28.0841813225845,39.12138916483227,-0.12716370428400126,-0.5093642550999,-165.9825347869607,2002-07-18T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,19,2002-07-19 22:16:00,-28.960748914767,-50.1533146422369,22,-49.9709839847004,-28.5935455776844,33.13758665347495,-0.1823306575364967,-0.3672033370826,-153.59382394914658,2002-07-19T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,20,2002-07-20 22:16:00,-29.2086446602344,-50.2192669435575,22,-50.1533146422369,-28.960748914767,19.112471358271048,-0.06595230132059982,-0.24789574546739956,-165.10165264755423,2002-07-20T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,21,2002-07-21 22:16:00,-29.0393895374748,-50.3880026579227,22,-50.2192669435575,-29.2086446602344,22.283057845673422,-0.16873571436519796,0.16925512275959775,-44.91195061478922,2002-07-21T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,22,2002-07-22 22:16:00,-28.7234382769137,-50.5022839818934,22,-50.3880026579227,-29.0393895374748,25.729735038725227,-0.11428132397070101,0.3159512605610999,-19.885338432894788,2002-07-22T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,23,2002-07-23 22:16:00,-28.2808097319636,-50.6996938395603,22,-50.5022839818934,-28.7234382769137,38.18044055202754,-0.1974098576668979,0.4426285449501002,-24.03660438969731,2002-07-23T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,24,2002-07-24 22:16:00,-27.8691954362579,-50.665882229696,22,-50.6996938395603,-28.2808097319636,29.242768983254276,0.03381160986429421,0.4116142957057001,4.695956419807945,2002-07-24T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,25,2002-07-25 22:16:00,-27.4955676208413,-50.5741690138148,22,-50.665882229696,-27.8691954362579,28.2629428787092,0.09171321588119952,0.37362781541660084,13.791527921736828,2002-07-25T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,26,2002-07-26 22:16:00,-27.338964914789,-50.6319248802497,22,-50.5741690138148,-27.4955676208413,12.782540035124256,-0.05775586643489561,0.15660270605230053,-20.244228233967664,2002-07-26T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,27,2002-07-27 22:16:00,-27.0427203762694,-50.6067479629579,22,-50.6319248802497,-27.338964914789,21.086646822270637,0.025176917291801715,0.2962445385195984,4.857720093399055,2002-07-27T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,28,2002-07-28 22:16:00,-26.7784128015635,-50.6741132012695,22,-50.6067479629579,-27.0427203762694,20.087376714331313,-0.06736523831160213,0.2643075747058994,-14.298795438075347,2002-07-28T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,29,2002-07-29 22:16:00,-26.5833983161123,-50.8078497694824,22,-50.6741132012695,-26.7784128015635,20.234900606867484,-0.13373656821290325,0.1950144854511997,-34.44145715918621,2002-07-29T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,30,2002-07-30 22:16:00,-26.3499437408005,-51.0081917083834,22,-50.8078497694824,-26.5833983161123,27.644226080392706,-0.20034193890099772,0.23345457531180003,-40.63495254121361,2002-07-30T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,7,31,2002-07-31 22:16:00,-26.4215746097408,-51.2662587520804,22,-51.0081917083834,-26.3499437408005,29.127693185725825,-0.25806704369699673,-0.07163086894030002,-105.5128934056829,2002-07-31T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,8,1,2002-08-01 22:16:00,-26.6385968969695,-51.3625467910255,22,-51.2662587520804,-26.4215746097408,18.497169172175372,-0.0962880389451044,-0.21702228722869776,-156.07418651000472,2002-08-01T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,8,2,2002-08-02 22:16:00,-26.5399306123765,-51.1841761415632,22,-51.3625467910255,-26.6385968969695,20.987932647742362,0.17837064946230186,0.09866628459299775,61.05068728458233,2002-08-02T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,8,3,2002-08-03 22:16:00,-26.4706453915032,-51.1292566852688,22,-51.1841761415632,-26.5399306123765,7.787215674649819,0.05491945629439954,0.0692852208733008,38.40237022507072,2002-08-03T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,8,4,2002-08-04 22:16:00,-26.0448113749029,-51.277902073052,22,-51.1292566852688,-26.4706453915032,33.961230616276225,-0.1486453877831977,0.4258340166003016,-19.242503405661267,2002-08-04T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,8,5,2002-08-05 22:16:00,-25.986968155011,-51.4739467296908,22,-51.277902073052,-26.0448113749029,22.165798028737182,-0.19604465663880433,0.05784321989190033,-73.56123978425337,2002-08-05T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,8,6,2002-08-06 22:16:00,-26.147984590244,-51.5257020456463,22,-51.4739467296908,-25.986968155011,12.543731558383088,-0.05175531595549643,-0.1610164352330017,-162.18110037726396,2002-08-06T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,8,7,2002-08-07 22:16:00,-26.548398353522,-51.5815390766098,22,-51.5257020456463,-26.147984590244,28.371855282492266,-0.05583703096350234,-0.4004137632779994,-172.06139264784866,2002-08-07T00:00:00
MAPE-dtsetBirdLife751-depid612-RAATD,2002,8,8,2002-08-08 22:16:00,-26.7233569285884,-51.8225927986422,22,-51.5815390766098,-26.548398353522,29.39082130552425,-0.2410537220323974,-0.17495857506640178,-125.97242261085887,2002-08-08T00:00:00
